CATAID,LOGIT_CLASS(1-UVUP;0-UVWEAK),REDSHIFT,SERSIC_GALFIT,SERSIC_SEXTRACTOR
215981,0,0.12262,2.9155,1.856444
40401,0,0.14624,3.3488,3.746669
53935,0,0.10639,2.845,3.550009
550227,0,0.07113,1.8227,1.748214
396579,0,0.19251,3.1879,3.945468
527908,1,0.26077,5.8922,4.719852
36940,0,0.18236,2.7946,1.417539
321388,0,0.25097,1.583,1.106749
508180,1,0.05555,4.1076,5.645057
526414,1,0.1038,6.1235,6.297015
599647,1,0.29877,3.5675,1.887713
56376,0,0.12582,4.9404,4.548242
32237,0,0.17762,3.8223,2.752197
30789,0,0.11362,3.7221,2.435041
300595,0,0.11083,4.2487,5.499259
568226,1,0.12994,2.7347,3.635916
48971,0,0.21507,4.4811,3.185357
49309,0,0.14172,3.8727,3.703847
47941,0,0.08361,3.3761,4.259342
600062,0,0.12467,3.9499,3.204135
517944,0,0.19761,3.25,2.197352
239748,0,0.11272,4.3875,5.826346
230837,0,0.0195,2.1675,1.026966
99934,0,0.08517,1.7067,2.794102
7663,0,0.15088,2.4538,1.427639
16027,1,0.13767,3.3138,3.372384
544330,0,0.08482,4.3179,6.25559
549096,1,0.12941,4.5925,3.374749
64374,0,0.2187,3.0967,1.923184
418740,0,0.0981,2.7404,1.676763
549076,1,0.18785,6.6512,8.02039
30274,0,0.2036,2.9958,2.64815
215039,0,0.0671,5.6401,6.440518
239877,0,0.22828,2.2768,2.356223
376705,0,0.05208,5.5804,8.80832
396871,0,0.07685,1.3057,1.144107
8983,0,0.20035,4.7655,3.934481
184488,0,0.11728,7.8348,7.86423
39419,0,0.12094,3.6493,4.283294
568406,0,0.16839,0.3987,0.3391467
559859,0,0.05143,3.6713,4.918377
378130,0,0.14447,0.5984,0.3510272
144640,0,0.08226,4.5755,4.243294
77521,0,0.13521,4.4077,3.238996
77650,1,0.12772,1.8285,0.8280798
382424,0,0.10011,2.6309,2.192701
320940,0,0.08394,3.7394,4.188294
508137,0,0.09275,3.5884,3.927662
486463,0,0.13162,2.8399,2.18069
273654,0,0.07445,4.6825,4.077754
609289,1,0.10635,2.4671,0.8791478
55771,0,0.0821,4.0622,4.005027
535764,0,0.07699,4.4201,6.432845
346894,0,0.0573,3.0984,4.409055
324847,0,0.09771,3.5248,3.41965
592425,0,0.09572,3.8201,4.963309
418693,0,0.05126,2.8058,4.49472
386829,1,0.12466,1.3501,1.651365
535638,0,0.10686,2.8745,2.360769
208755,0,0.27085,6.1967,4.088326
617524,1,0.13366,3.2255,3.127163
544304,0,0.08403,4.171,6.518855
300936,0,0.2643,4.2276,2.552385
460321,0,0.10293,4.8174,6.193909
238992,0,0.10938,4.242,4.592577
584728,0,0.1658,3.3246,1.635729
492093,1,0.10246,2.6208,1.908168
99820,0,0.10924,6.7388,6.9168
